+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[18]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_25_V_reg_1981_reg[23]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_1_V_reg_1861_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_24_V_reg_1976_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_14_V_reg_2751_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_23_V_reg_1971_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer7_out_12_V_reg_2366_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_4_V_reg_1876_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[5]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_20_V_reg_1956_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[15]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_25_V_reg_1981_reg[10]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_3_V_reg_2696_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_8_V_reg_2721_reg[17]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer7_out_14_V_reg_2376_reg[17]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_21_V_reg_1961_reg[9]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer7_out_7_V_reg_2341_reg[2]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_29_V_reg_2001_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_28_V_reg_1996_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_1_V_reg_2686_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_28_V_reg_1996_reg[7]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_29_V_reg_2001_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_8_V_reg_2721_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_1_V_reg_1861_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_16_V_reg_2761_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_5_V_reg_2331_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[2]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_19_V_reg_2776_reg[11]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[3]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_2_V_reg_1866_reg[11]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_21_V_reg_1961_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_3_V_reg_2696_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_1_V_reg_2311_reg[11]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_14_V_reg_2376_reg[5]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[9]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[15]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[10]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_19_V_reg_2776_reg[10]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[22]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_7_V_reg_2716_reg[9]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_1_V_reg_2311_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_19_V_reg_2776_reg[18]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_23_V_reg_1971_reg[4]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_14_V_reg_1926_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer7_out_14_V_reg_2376_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_4_V_reg_1876_reg[15]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_2_V_reg_1866_reg[10]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_11_V_reg_1911_reg[3]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[17]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_6_V_reg_2336_reg[11]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_19_V_reg_2776_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_4_V_reg_1876_reg[4]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_12_V_reg_2366_reg[5]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer7_out_9_V_reg_2351_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_28_V_reg_1996_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer7_out_14_V_reg_2376_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[7]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_4_V_reg_1876_reg[5]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_28_V_reg_1996_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_6_V_reg_2711_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_0_V_reg_1856_reg[18]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_12_V_reg_1916_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_18_V_reg_1946_reg[12]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_13_V_reg_2746_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_25_V_reg_1981_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer7_out_6_V_reg_2336_reg[7]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[22]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[13]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[22]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_18_V_reg_2771_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_0_V_reg_1856_reg[10]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_24_V_reg_1976_reg[17]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_6_V_reg_1886_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_21_V_reg_1961_reg[2]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_16_V_reg_2761_reg[5]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_17_V_reg_1941_reg[18]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_1_V_reg_2686_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_8_V_reg_2721_reg[20]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_21_V_reg_1961_reg[17]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_1_V_reg_2686_reg[14]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[16]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                                my_test_algo/my_hls_label/layer3_out_1_V_reg_1861_reg[8]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_27_V_reg_1991_reg[22]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                             my_test_algo/my_hls_label/layer11_out_11_V_reg_2736_reg[21]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer11_out_9_V_reg_2726_reg[6]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer3_out_17_V_reg_1941_reg[19]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                              my_test_algo/my_hls_label/layer11_out_16_V_reg_2761_reg[3]/D|
|     CLK_OUT4_usrclk_mmcm |     CLK_OUT4_usrclk_mmcm |                                               my_test_algo/my_hls_label/layer3_out_21_V_reg_1961_reg[6]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
